Order_ID,Customer_Name,Customer_ID,Product_Name,Category,Sub_Category,Sales,Profit,Discount,Quantity,Order_Date,Region,Country,State,Payment_Mode,Year,Month,Month_Name,Quarter,Day,Day_of_Week,Day_Name,Week_of_Year,Is_Weekend,Is_Month_Start,Is_Month_End,Year_Month,Season,Is_Holiday_Season,Unit_Price,Profit_Margin_Pct,Is_Profitable,Discounted_Price,Sales_Bucket,Customer_Total_Spent,Customer_Total_Orders,Customer_Avg_Order_Value,Customer_Total_Profit,Customer_Avg_Discount,Customer_First_Purchase,Customer_Last_Purchase,Customer_Tenure_Days,Customer_Recency_Days,Customer_Segment,Product_Total_Sales,Product_Total_Quantity,Product_Avg_Price,Product_Total_Profit,Product_Order_Count,Product_Performance
ORD-000001,Elizabeth Wilson,CUST-00022,Avery Heavy-Duty Binder,Office Supplies,Binders,312.19,140.49,0.0,1,2024-01-06,South,United States,Alabama,Google Pay,2024,1,January,1,6,5,Saturday,1,1,1,0,2024-01,Winter,0,312.19,45.0,1,312.19,Medium,59213.69,16,3700.855625,23742.44,0.0625,2019-01-04,2024-09-13,2079,618,Platinum,26473.7,88,802.2333333333333,10843.95,33,Low
ORD-000002,Michael Harris,CUST-00039,Sharpie Permanent Markers,Office Supplies,Art,5115.2,1790.32,0.0,4,2019-08-23,East,United States,Pennsylvania,Google Pay,2019,8,August,3,23,4,Friday,34,0,0,1,2019-08,Summer,0,1278.8,35.0,1,5115.2,Premium,27591.22,9,3065.6911111111112,11379.89,0.07777777777777778,2019-07-16,2024-10-18,1921,583,Silver,143673.18,120,3341.2367441860465,58744.88,43,High
ORD-000003,Barbara Gonzalez,CUST-00488,Motorola Edge 40,Technology,Phones,7802.81,2730.98,0.2,3,2020-10-17,Central,Germany,Hesse,Credit Card,2020,10,October,4,17,5,Saturday,42,1,0,0,2020-10,Fall,0,2600.94,35.0,1,6242.25,Premium,53411.28,17,3141.84,23034.68,0.10588235294117647,2019-03-08,2024-11-02,2066,568,Platinum,392741.35,132,8015.129591836734,158291.35,49,Top
ORD-000004,Amanda Jones,CUST-00035,IKEA Billy Bookcase,Furniture,Bookcases,1177.04,529.67,0.0,1,2020-06-01,East,United Kingdom,Scotland,Bank Transfer,2020,6,June,2,1,0,Monday,23,0,1,0,2020-06,Summer,0,1177.04,45.0,1,1177.04,Very High,40100.53,15,2673.3686666666667,17853.37,0.07,2019-06-23,2024-11-02,1959,568,Gold,89219.65,90,2788.1140625,38362.68,32,Medium
ORD-000005,Susan Allen,CUST-00310,GitHub Enterprise,Technology,Software,3326.34,997.9,0.0,2,2019-05-13,Central,United States,Arizona,PayPal,2019,5,May,2,13,0,Monday,20,0,0,0,2019-05,Spring,0,1663.17,30.0,1,3326.34,Very High,45673.14,12,3806.095,20161.52,0.02916666666666667,2019-05-13,2024-12-06,2034,534,Gold,188187.68,121,4825.325128205128,75516.24,39,High
ORD-000006,David Robinson,CUST-00391,Razer Blade 15,Technology,Laptops,4432.24,1772.9,0.0,4,2023-12-24,South,United States,South Carolina,Bank Transfer,2023,12,December,4,24,6,Sunday,51,1,0,1,2023-12,Winter,1,1108.06,40.0,1,4432.24,Very High,55393.88,13,4261.067692307692,26314.49,0.05384615384615384,2019-07-06,2024-04-08,1738,776,Platinum,114850.41,112,2944.8823076923077,47643.770000000004,39,Medium
ORD-000007,Deborah Ramirez,CUST-00333,Amazon Basics Desk Lamp,Furniture,Furnishings,1740.12,609.04,0.05,3,2022-07-11,South,United States,South Carolina,Bank Transfer,2022,7,July,3,11,0,Monday,28,0,0,0,2022-07,Summer,0,580.04,35.0,1,1653.11,Very High,35575.619999999995,8,4446.952499999999,14119.46,0.08750000000000001,2019-06-13,2024-08-06,1881,656,Gold,59133.71000000001,103,1285.5154347826087,24090.06,46,Low
ORD-000008,Karen Robinson,CUST-00199,Microsoft Office 365,Technology,Software,6175.22,2778.85,0.1,3,2024-10-21,Central,Canada,Ontario,Apple Pay,2024,10,October,4,21,0,Monday,43,0,0,1,2024-10,Fall,0,2058.41,45.0,1,5557.7,Premium,56999.46,13,4384.573846153846,27733.31,0.08076923076923077,2019-07-11,2024-12-18,1987,522,Platinum,250782.69999999998,124,5699.606818181818,105396.20999999999,44,Top
ORD-000009,Jessica Moore,CUST-00356,Nespresso VertuoNext,Office Supplies,Appliances,1022.54,562.4,0.05,1,2022-03-15,South,United States,North Carolina,Debit Card,2022,3,March,1,15,1,Tuesday,11,0,0,0,2022-03,Spring,0,1022.54,55.0,1,971.41,Very High,19920.65,8,2490.08125,8192.68,0.049999999999999996,2020-10-01,2023-02-21,873,1188,Bronze,104729.83,102,2618.24575,44176.53,40,Medium
ORD-000010,Brian Baker,CUST-00045,HP Printer Paper 8.5x11,Office Supplies,Paper,4691.7,1642.1,0.0,3,2023-12-29,South,United States,Texas,Apple Pay,2023,12,December,4,29,4,Friday,52,0,0,1,2023-12,Winter,1,1563.9,35.0,1,4691.7,Very High,44048.770000000004,13,3388.3669230769233,17470.87,0.06923076923076922,2019-09-07,2024-12-06,1917,534,Gold,150134.4,106,3753.3599999999997,59862.17,40,High
ORD-000011,Ashley Wilson,CUST-00457,SimpleHuman Trash Can,Furniture,Furnishings,4635.86,1622.55,0.0,2,2022-04-04,Central,Canada,Quebec,Google Pay,2022,4,April,2,4,0,Monday,14,0,1,0,2022-04,Spring,0,2317.93,35.0,1,4635.86,Very High,53801.3,15,3586.7533333333336,22643.94,0.09666666666666668,2019-04-15,2024-09-23,1988,608,Platinum,229938.63,109,5748.46575,94780.16,40,Top
ORD-000012,Richard Johnson,CUST-00407,Samsill View Binder,Office Supplies,Binders,7622.2,4192.21,0.0,4,2020-12-14,East,United Kingdom,Scotland,Debit Card,2020,12,December,4,14,0,Monday,51,0,0,0,2020-12,Winter,1,1905.55,55.0,1,7622.2,Premium,28702.61,8,3587.82625,12799.77,0.0625,2019-09-07,2023-03-15,1285,1166,Silver,160733.13,87,5542.521724137931,66136.87,29,High
ORD-000013,Dorothy Lewis,CUST-00122,Breville Toaster Oven,Office Supplies,Appliances,3276.43,1474.39,0.2,2,2020-07-22,Central,Canada,Alberta,Apple Pay,2020,7,July,3,22,2,Wednesday,30,0,0,1,2020-07,Summer,0,1638.22,45.0,1,2621.14,Very High,40678.34,6,6779.723333333332,15183.740000000002,0.09166666666666667,2019-07-13,2024-07-14,1828,679,Gold,215732.57,114,5677.172894736842,96629.16,38,Top
ORD-000014,Steven Nelson,CUST-00314,Apple Watch Ultra,Technology,Accessories,944.75,330.66,0.15,1,2020-06-15,West,United States,Washington,Bank Transfer,2020,6,June,2,15,0,Monday,25,0,0,0,2020-06,Summer,0,944.75,35.0,1,803.04,High,29852.53,12,2487.710833333333,10818.369999999999,0.09166666666666667,2019-02-03,2024-08-09,2014,653,Silver,122206.13,116,2909.669761904762,52555.85,42,Medium
ORD-000015,Amanda Martin,CUST-00211,Crayola Supertips Set,Office Supplies,Art,11351.5,6243.32,0.0,5,2024-11-23,East,United States,Massachusetts,PayPal,2024,11,November,4,23,5,Saturday,47,1,0,1,2024-11,Fall,1,2270.3,55.0,1,11351.5,Premium,43174.76,7,6167.822857142857,18195.28,0.02142857142857143,2019-02-18,2024-11-23,2105,547,Gold,237586.9,113,5399.702272727272,101130.52,44,Top
ORD-000016,Kenneth Taylor,CUST-00231,Akro-Mils Storage,Office Supplies,Storage,2710.54,1219.74,0.0,2,2019-10-31,East,United States,Pennsylvania,Apple Pay,2019,10,October,4,31,3,Thursday,44,0,0,1,2019-10,Fall,0,1355.27,45.0,1,2710.54,Very High,28934.980000000003,7,4133.568571428572,11058.48,0.028571428571428574,2019-10-31,2024-03-26,1608,789,Silver,107540.67,81,3708.2989655172414,45076.26,29,Medium
ORD-000017,Charles Wilson,CUST-00394,Slack Enterprise,Technology,Software,14237.88,4271.36,0.0,4,2021-01-15,Central,Germany,Berlin,Credit Card,2021,1,January,1,15,4,Friday,2,0,0,0,2021-01,Winter,0,3559.47,30.0,1,14237.88,Premium,59086.92,10,5908.692,23130.01,0.11000000000000001,2019-10-01,2024-12-29,1916,511,Platinum,408080.35000000003,126,8328.170408163265,178601.17,49,Top
