AI-Powered Sales Analytics Dashboard - Summary Report
Generated: 2026-05-24 12:12:19

DATASET OVERVIEW
Metric,Value
Total Records,5000
Total Customers,500
Total Products,130
Total Orders,5000
Date Range,2019-01-01 00:00:00 to 2024-12-31 00:00:00

REVENUE KPIs
KPI,Value
Total Revenue,"$18,492,665.12"
Total Profit,"$7,826,995.21"
Profit Margin,42.32%
Average Order Value,"$3,698.53"
Total Units Sold,13737

TOP 10 CUSTOMERS BY REVENUE
Customer Name,Total Spent,Orders,Avg Order Value
William Robinson,"$160,577.59",36,"$4,460.49"
Karen Nelson,"$130,307.98",28,"$4,653.86"
Daniel Wilson,"$127,800.73",30,"$4,260.02"
Timothy Thomas,"$121,237.26",30,"$4,041.24"
Joseph Rodriguez,"$119,731.14",27,"$4,434.49"
Karen Sanchez,"$117,712.33",21,"$5,605.35"
George Nguyen,"$116,085.88",28,"$4,145.92"
Paul Garcia,"$112,917.16",26,"$4,342.97"
Carol Thomas,"$110,564.44",28,"$3,948.73"
David Robinson,"$106,438.68",25,"$4,257.55"

CATEGORY PERFORMANCE
Category,Sales,Profit,Margin,Units Sold
Furniture,"$5,449,279.33","$2,315,567.29",42.48%,4171
Office Supplies,"$6,065,832.98","$2,578,958.43",42.48%,5209
Technology,"$6,977,552.81","$2,932,469.49",42.34%,4357

REGIONAL PERFORMANCE
Region,Sales,Profit,Orders,Customers
Central,"$7,788,239.81","$3,301,672.91",2135,215
East,"$3,866,563.82","$1,630,597.98",1024,102
South,"$3,867,943.17","$1,643,603.08",1027,104
West,"$2,969,918.32","$1,251,121.24",814,79

MONTHLY SALES TRENDS
Month,Sales,Profit,Orders
2019-01,"$206,179.50","$84,880.75",74
2019-02,"$308,821.56","$131,186.73",73
2019-03,"$220,229.65","$93,741.33",57
2019-04,"$213,156.42","$92,885.40",62
2019-05,"$203,882.28","$84,619.65",62
2019-06,"$174,683.89","$71,513.99",70
2019-07,"$243,657.27","$102,110.53",73
2019-08,"$268,838.76","$109,748.31",75
2019-09,"$384,555.82","$160,808.44",77
2019-10,"$209,639.49","$90,291.47",64
2019-11,"$364,984.48","$158,751.01",68
2019-12,"$305,195.20","$123,670.65",62
2020-01,"$227,501.30","$87,517.44",72
2020-02,"$245,168.70","$104,856.47",74
2020-03,"$321,089.72","$138,534.27",86
2020-04,"$198,082.38","$82,813.20",68
2020-05,"$235,577.33","$102,937.18",70
2020-06,"$224,249.91","$96,305.70",82
2020-07,"$207,256.42","$89,103.13",77
2020-08,"$321,710.25","$139,276.20",80
2020-09,"$265,203.02","$116,450.83",72
2020-10,"$234,174.39","$100,646.29",68
2020-11,"$340,511.35","$156,951.28",73
2020-12,"$446,712.51","$191,864.85",74
2021-01,"$201,028.57","$82,677.38",63
2021-02,"$206,359.00","$87,093.63",52
2021-03,"$235,303.78","$96,551.54",58
2021-04,"$202,116.57","$87,649.77",64
2021-05,"$246,696.85","$98,085.63",74
2021-06,"$168,657.70","$69,959.89",65
2021-07,"$200,898.91","$84,360.38",79
2021-08,"$285,963.04","$118,219.46",64
2021-09,"$338,888.52","$141,787.19",85
2021-10,"$248,653.32","$105,281.99",72
2021-11,"$298,353.48","$130,217.20",64
2021-12,"$448,161.88","$187,716.75",74
2022-01,"$244,307.30","$106,839.90",74
2022-02,"$251,669.79","$101,342.81",73
2022-03,"$176,803.59","$74,702.37",57
2022-04,"$191,934.68","$75,658.50",62
2022-05,"$310,213.73","$132,629.43",88
2022-06,"$163,570.53","$67,895.34",56
2022-07,"$151,438.11","$59,434.39",57
2022-08,"$374,394.77","$155,444.35",77
2022-09,"$268,165.87","$112,523.83",76
2022-10,"$193,455.45","$85,945.16",67
2022-11,"$258,699.84","$109,264.83",67
2022-12,"$385,105.32","$161,937.01",53
2023-01,"$239,277.06","$104,237.43",72
2023-02,"$196,893.48","$81,485.39",57
2023-03,"$276,757.80","$115,826.81",84
2023-04,"$298,098.62","$123,070.46",82
2023-05,"$217,442.40","$94,831.76",74
2023-06,"$153,275.79","$60,780.93",55
2023-07,"$187,260.12","$80,852.21",76
2023-08,"$263,222.40","$107,345.25",58
2023-09,"$297,503.17","$123,666.20",72
2023-10,"$244,757.22","$104,613.09",73
2023-11,"$260,176.64","$105,725.62",71
2023-12,"$393,124.09","$167,288.35",75
2024-01,"$137,643.35","$57,741.10",56
2024-02,"$247,241.00","$105,683.43",71
2024-03,"$268,103.52","$123,205.48",73
2024-04,"$248,955.91","$103,526.76",71
2024-05,"$286,766.07","$119,501.15",71
2024-06,"$209,598.41","$88,393.56",78
2024-07,"$167,453.93","$69,436.16",63
2024-08,"$208,659.60","$86,019.85",63
2024-09,"$244,369.06","$114,342.50",65
2024-10,"$263,208.24","$107,628.77",67
2024-11,"$270,152.65","$120,474.16",61
2024-12,"$490,822.39","$216,634.96",78
